Name,Subject,Marks,Gender,Section
Ram,Math,85,M,A
Ram,Science,78,M,A
Ram,English,82,M,A
Ram,Computer,90,M,A
Sita,Math,92,F,B
Sita,Science,88,F,B
Sita,English,91,F,B
Sita,Computer,95,F,B
Hari,Math,76,M,A
Hari,Science,70,M,A
Hari,English,72,M,A
Hari,Computer,80,M,A
Gita,Math,89,F,B
Gita,Science,85,F,B
Gita,English,87,F,B
Gita,Computer,92,F,B
Ramesh,Math,68,M,C
Ramesh,Science,65,M,C
Ramesh,English,70,M,C
Ramesh,Computer,75,M,C
Anita,Math,90,F,C
Anita,Science,93,F,C
Anita,English,88,F,C
Anita,Computer,94,F,C
